TITLE,ARTISTS
fill me in,"Loud Luxury, Ryan Shepherd, Loud Luxury & Ryan Shepherd | Loud Luxury & Ryan Shepherd"
flies,"Zeds dead, LOUDPVCK | Zeds Dead And Loudpvck"
frontlines,"Zeds Dead, GG Magree | Zeds dead, Nghtmre & GG Magree"
ready or not,"Fugees, Lauryn Hill, Wyclef Jean & Pras | Fugees"
"me, myself & i","G-Eazy & Bebe Rexha | G-Eazy, Bebe Rexha, G-Eazy x Bebe Rexha"
game time (barely alive remix),"Zomboy | Zomboy, Barely Alive"
get with the program (eptic & trampa remix),"Zomboy, Vulgatron, Eptic, Trampa, Eptic & Trampa | Zomboy, Eptic & Trampa"
glow like dat,Rich Brian | Rich Chigga
go deep (zeds dead remix),"Gorgon City, Kamille, Ghosted, Zeds Dead | Gorgon City, Zeds Dead"
temple,"Godamn & Castion | GODAMN, Castion"
love me,"Dead Exit, Dems | Zeds Dead, Memorecks"
griztronics (reaper remix),"GRiZ & Subtronics | GRIZ, Subtronics, REAPER"
gully,"My Nu Leng, Holy Goof, Takura | My Nu Leng & Holy Goof"
gunshotta,"Turno, Zero | Turno, Zero, Killa P"
hit me,Zeds dead | Zeds Dead
"hold up, wait a minute","Zhu, Bone Thugs-N-Harmony, Trombone Shorty, ZHU x Bone Thugs-n-Harmony x Trombone Shorty | Zhu, Bone Thugs-N-Harmony & Trombone Shorty | Zhu & Bone-Thugs-N-Harmony"
hold your colour (noisia remix),"Pendulum | Pendulum, Noisia"
what 2 say,"Holy Goof x FineArt | Holy Goof, Fineart"
hotplate,"Moody Good | Moody Good, Knytro"
i said meow,"Said, Azazal | Azazal, Saïd"
in the beginning,Zeds dead | Zeds Dead
war,Jack Beats & Diplo | Jack Beats
invaders (spag heddy remix),"Zomboy | Zomboy, Spag Heddy"
you should know,"Jack Beats & Doneo | Jack Beats, Donae'o"
you don't know me,"Jax Jones & RAYE | Jax Jones, Raye, Jin Jin, MNEK"
play (purple disco machine remix),"Jax Jones, Years, Purple Disco Machine | Jax Jones, Years, Mark Ralph, Olly Alexander, MNEK, Raye, Hal Ritson, Richard Adlam, Sharlene Hector, James Anderson, Purple Disco Machine"
just a dream,"Nelly | Nelly, Jim Jonsin, Frank Romano"
kill em,"Zeds dead, 1000volts, Redman, Jayceeoh | Zeds Dead, 1000Volts"
vibrar,"Kaku, Chuwe | KAKU, Chuwe, Lyon La Diferencia"
kick it,"Skism, Zomboy | SKisM, Zomboy"
without a trace (loudpvck remix),"Kill The Noise | Kill the Noise, LOUDPVCK"
kneel before me,"Slander, CrankDat, Asking Alexandria | SLANDER, Crankdat, Asking Alexandria"
later bitches (billy kenny remix),"The Prince Karma | The Prince Karma, Billy Kenny"
lean on (ft. mø & dj snake),"Major Lazer, DJ Snake | Major Lazer"
mankind,"LICK, No Etiquette | Lick, No Etiquette"
lift you up (kaivon remix),"Zeds dead, Delta Heavy | Zeds Dead, Delta Heavy, Kaivon"
lights go down (duke & jones remix),"Zeds dead, Jauz, Micheal Antionette Bledsoe, Duke, Jones, Duke & Jones | Zeds dead, Jauz, Duke, Jones, Duke & Jones | Zeds Dead, Jauz, Duke & Jones"
lights go down (sikdope remix),"Zeds dead, Jauz, Micheal Antionette Bledsoe, Sikdope | Zeds Dead & Jauz, Sikdope"
lights go down (sqwad remix),"Zeds dead, Jauz, Micheal Antionette Bledsoe, Sqwad | Zeds Dead, Jauz, Sqwad"
like a bitch (kill the noise remix),"Zomboy | zomboy, kill the noise"
save dat money (ft. fetty wap & rich homie quan),"Lil Dicky | Lil Dicky, Fetty Wap, Rich Homie Quan, Homie Quan"
love language,"Tchami, Angelz | Tchami & ANGELZ"
carry us,"LP Giobbi, Kaleena Zanders | LP Giobbi"
shadow self,LSDream | Lsdream
party till we die (ft. andrew w.k.),"MAKJ & Timmy Trumpet | MAKJ, Timmy Trumpet, Andrew W.K."
maluco drum,"Rawtek, Wiwek, Heavy Baile | Rawtek, Wiwek"
mr. muscles,"Svdden Death, Aweminus | SVDDEN DEATH & Aweminus"
trouble,Zeds dead | Zeds Dead
music in me (doctor p remix),"Roksonix | Roksonix, Doctor P"
must've been (ft. dram),"Chromeo | Chromeo, Dram"
redlight (crankdat remix),"NGHTMRE, ASAP Ferg, Crankdat | Nghtmre, A$AP Ferg"
redlight (holy goof remix),"NGHTMRE, ASAP Ferg, Holy Goof | Nghtmre, A$AP Ferg"
warning (ghastly remix),"NGHTMRE, SLANDER, Ghastly | Slander, Nghtmre, Ghastly"
no hands (ft. roscoe dash & wale),"Waka Flocka Flame, Roscoe Dash, Wale | Waka Flocka Flame"
say my name (hayden james remix),"Odesza, Hayden James | ODESZA, Zyra, Hayden James"
oh no,Zeds dead | Zeds Dead
unspoken (muzzy & oliverse remix),"Oliverse, Muzzy & Oliverse | Muzzy, Ryan Oliphant, Elle Exxe, Oliverse, Muzzy & Oliverse"
